à,at; in; to; with
accès (n.m.),access
accessible,accessible
accessoire (n.m.),accessory; prop
accident (n.m.),accident
accidenté (n.m.),injured person; damaged; uneven
accompagné,accompanied
accompagnement (n.m.),accompaniment; support
accompagner (v.),accompany; go with
accomplir (v.),carry out
accord (n.m.),agreement; approval
accordéon (n.m.),accordion
accorder (v.),grant; allow; concede
accords de Grenelle (n.m.pl.),the Grenelle agreements
accouchement (n.m.),childbirth
accoudoir (n.m.),arm rest
accourir (v.),run up; rush up
accrocher (v.),hang up
accroissement (n.m.),increase
accueil (n.m.),welcome; reception
accueillir (v.),welcome; greet; receive
accusé de réception (n.m.),registered post
achalandé,stocked
achat (n.m.),purchase
acheminer (v.),forward; convey; transport
acheter (v.),buy
acheteur (n.m.),buyer
achever (v.) (être),complete; finish
acide,acid; bitter; sharp
acidité (n.f.),acidity; tartness
acier (n.m.),steel
acompte (n.m.),deposit
acoustique (n.f.),acoustic
acquérir (v.),acquire; purchase; buy
acquiescer (v.),acquiesce
acquisition (n.f.),acquisition; purchase
acrobatie (n.f.),acrobatics
Acropole (n.pr.f.),Acropolis
acte (n.m.),deed
acteur (n.m.),actor
actif,active; busy
actif (n.m.),assets
action (n.f.) [agir],action [act]
action (n.f.) [bourse],share; stock; action [stock exchange]
actionnaire [double genre],shareholder
activité (n.f.),activity; sector
actuel,current; present
actuellement,currently; at the moment
acupuncteur (n.m.),acupuncturist
acupuncture (n.f.),acupuncture
adaptateur (n.m.),adapter; adaptor
adapter (v.),suit; adapt; be suitable for
addition (n.f.),bill; addition; check (US)
adepte (double genre),follower; supporter; disciple
adhérer (v.),adhere; join
adhésif,sticky tape; adhesive
adieu,goodbye
adjectif (n.m.),adjective
adjoint (n.m.),assistant; adjunct
admettre (v.),admit; acknowledge
administratif,administrative
administration (n.f.),administration; management; government
admiratif,admiring
admirer (v.),admire
adolescence (n.f.),adolescence; teenage years
adolescent (n.m.),teenager
adopter (v.),adopt
adorer (v.),love; adore
adresse (n.f.),address
adresser (v.),address; send; refer
adulte (double genre),adult; grown-up
adverbe (n.m.),adverb
adversaire (double genre),adversary; opponent
aérer (v.),air
aérien,light; air; overhead
aérodynamique,aerodynamic
aérogare (n.f.),air terminal; airport building
aérophagie (n.f.),wind
aéroplane (n.m.),aeroplane (UK); airplane (US); plane
aéroport (n.m.),airport
aérosol (n.m.),aerosol
affaiblir (v.),weaken
affaire (n.f.),belongings; affair; deal
affaires (n.f.pl.),business; affairs
affamé,famished; starved
affecter (v.),affect; assign; move
affection (n.f.),affection; complaint
affichage (n.m.),putting up; display
affiche (n.f.),poster
afficher (v.),stick (up); display
affluence (n.f.),abundance; crowds
affranchir (v.),frank
affranchissement (n.m.),postage
affréter (v.),charter
affreux,ghastly; awful
affronter (v.),face
afin de,in order to
afin que,so that
Afrique (n.pr.f.),Africa
Afrique du Sud (n.pr.f.),South Africa
agaçant,annoying; irritating
agacé,irritated
agacement (n.m.),irritation
âge (n.m.),age
âgé,old; elderly
agence (n.f.),agency
agence de publicité (n.f.),advertising agency
agence de voyages (n.f.),travel agency
agenda (n.m.),diary
agent (n.m.),agent; police officer
agent de change (n.m.),stockbroker
agent de police (n.m.),policeman
agent immobilier (n.m.),estate agent (UK); real estate agent (US)
agglomération (n.f.),town; agglomeration
agilité (n.f.),agility
agir (v.),act
agitation (n.f.),perturbation; disturbance
agité,troubled; excited; restless
agiter (v.),wave
agneau (n.m.),lamb
agrafeuse (n.f.),stapler
agrandir (v.),widen; make bigger; enlarge; extend
agréablement,pleasantly
agréer (v.),agree to
agresser (v.),attack; assault
agression (n.f.),attack; aggression
agricole,agricultural; farm; farming
agriculteur (n.m.),farmer
agriculture (n.f.),agriculture; farming
ah,ah
ah bon,really
aide (n.f.),help; assistance
aider (v.),help
aigle (n.m.),eagle
aiguillage (n.m.),shunting (UK); switching (US)
aiguille (n.f.),knitting needle; needle
aiguilleur du ciel (n.m.),ir traffic controller
aiguiser (v.),sharpen
aïkido (n.m.),aikido
ail (n.m),garlic
aile (n.f.),wing
aileron (n.m.),fin; wing tip
ailleurs,elsewhere
aimable,nice; kind; lovable
aimer (v.),like; love
ainsi,then; like this; so
ainsi que,as well as; as
air (n.m.),air
aire (n.f.),area; sphere
aire d’autoroute (n.f.),lay-by
aire de repos (n.f.),rest stop
airelle (n.f.),bilberry
aisance (n.f.),ease; comfort
aisément,easily
ajouter (v.),add
ajustement (n.m.),adjustment
ajuster (v.),adjust; alter; regulate; fit
Alain Delon (n.pr.),Alain Delon
alarme (n.f.),alarm
Alaska (n.pr.f.),Alaska
album (n.m.),album
album de photos (n.m.),photo album
alcool (n.m.),alcohol
alcoolisé,alcoholic
Alcootest (n.pr.m.),breathalyser test
alentours (n.m.pl.),surroundings
Alexandre III (n.pr.),Alexander III
algèbre (n.f.),algebra
Alger (n.pr.),Algiers
Algérie (n.pr.f.),Algeria
Algérien (n.m.),Algerian
algue (n.f.),seaweed
Alhambra (n.pr.),Alhambra
aliment (n.m.),food
alimentaire,food
alimentation (n.f.),diet; supply; nutrition
allécher (v.),tempt
allée (n.f.),alley
allée et venue (n.f.),comings and goings
allégé,low-fat
Allemagne (n.pr.f.),Germany
allemand,German [adjective]
allemand (n.m.),German
aller (n.m.),single ticket (UK); one-way ticket (US)
aller (v.) [se déplacer] (+ être),go
aller (v.) [convenir] (+ être),suit
aller (v.) [être] (+ être),be; go
aller avec (v.) (+ être),go with
aller bien,be fine
aller droit au but,go straight to the point
aller mieux,be better
aller-retour (n.m.),return ticket (UK); round-trip ticket (US)
allez,come on
allez-y,go ahead
allier (v.),combine; unite
Alliés (n.m.pl.),Allies
alligator (n.m.),alligator
allô,hello
allongé,laid down; elongated; extended
allons,come on
allons-y,let's go
allumage (n.m.),lighting; switching on
allumé,turned on
allume-cigare (n.m.),cigar lighter
allumer (v.),light; put on; switch on
allumette (n.f.),match
alors,so; then
alors que,while; when; whereas
Alpes (n.f.pl.),Alps
alphabet (n.m.),alphabet
alpinisme (n.m.),mountaineering; climbing
alpiniste (double genre),mountaineer; climber
Alsace (n.pr.f.),Alsace
Alsacien,Alsacian
altérer (v.),distort; alter; modify
alternative (n.f.),alternative
alternativement,alternately; in turn
altitude (n.f.),altitude; height; flight level
amande (n.f.),almond
amarrage (n.m.),mooring
amarre (n.f.),rope; cable
amarrer (v.),tie; moor
amateur (n.m.),amateur
Amazonie (n.pr.f.),Amazonia
ambiance (n.f.),atmosphere
ambiant,surrounding
ambition (n.f.),ambition
ambulance (n.f.),ambulance
ambulancier (n.m.),ambulance driver; ambulance man
âme (n.f.),soul
amélioration (n.f.),improvement
améliorer (v.),improve
aménagement (n.m.),development; planning
aménager (v.),fit out; equip; convert
amende (n.f.),fine (UK); ticket (US)
amener (v.),bring; take
amener les voiles,strike the sails
amer,bitter
américain,American
Amérique (n.pr.f.),America
Amérique du Sud (n.pr.f.),South America
ameublement (n.m.),furniture
ami (n.m.),friend
amical,friendly
amitié (n.f.),friendship
amorcer (v.),start; begin
amortissement (n.m.),redemption
amour (n.m.),love
amour-propre (n.m.),self-esteem
amoureux (n.m.),lover
amoureux,in love
amphithéâtre (n.m.),amphitheatre (UK); auditorium (US)
ampleur (n.f.),looseness; fullness; scope
amplifier (v.),amplify; develop; expand; increase
ampoule (n.f.),bulb; blister
amusant,funny; amusing
amusement (n.m.),amusement
amuser (v.),amuse
amygdalite (n.f.),tonsillitus
an (n.m.),year
analyse (n.f.),analysis; test
analyser (v.),analyse
ananas (n.m.),pineapple
ancêtres (n.m.pl.),ancestors
ancien,old; ancient; former
Ancien Régime (n.pr.m.),Ancien Regime
ancre (n.f.),anchor
Andalousie (n.pr.f.),Andalusia
André Breton (n.pr.),André Breton
âne (n.m.),donkey
anesthésier (v.),anaesthetize; numb
angine (n.f.),throat infection; angina
Anglais (n.m.),Englishman
anglais,English [adjective]
anglais (n.m.),English
angle (n.m.),corner; angle
Angleterre (n.pr.f.),England
angoissé,anguished
Angoulême (n.pr.),Angoulême
animal (n.m.),animal
animal domestique (n.m.),animal; pet
animateur (n.m.),coordinator; leader; organizer; host
animation (n.f.),organized activity
animer (v.),animate; prompt; bring to life
anneau (n.m.),ring; coil; link
année (n.f.),year
annexe (n.f.),annexe (UK); annex (US); additional boat
anniversaire (n.m.),birthday; anniversary
annonce (n.f.),announcement; declaration; advertisement; sign
annoncer (v.),forecast; announce
annuaire (n.m.),phone book; telephone directory; yearbook
annulation (n.f.),cancellation
annuler (v.),cancel
anomalie (n.f.),abnormality; fault
anonyme,anonymous; impersonal
anorak (n.m.),ski jacket; anorak
anormal,unusual; abnormal
antenne (n.f.),antenna
Antibes (n.pr.),Antibes
antibiotique (n.m.),antibiotic
anticiper (v.),anticipate
anticonformiste,non-conformist
anticyclone (n.m.),anticyclone
Antilles (n.pr.f.),The West Indies
antiquaire (double genre),antique dealer
antiquité (n.f.),antique
Antoine de Saint-Exupéry (n.pr.),Antoine de Saint-Exupéry
anxiété (n.f.),anxiety
anxieux,anxious; worried
août (n.m.),August
apaiser (v.),pacify; appease; calm
apercevoir (v.),see; catch sight of
apéritif (n.m.),aperitif; appetizer
apéritif,savoury biscuit (UK); cracker (US)
apollon (n.m.),good-looking man; Greek god
apparaître (v.) (+ être),appear
appareil (n.m.),device; machine
appareil photo (n.m.),camera
apparemment,apparently
apparence (n.f.),appearance
apparition (n.f.),apparition; appearance
appartement (n.m.),flat (UK); apartment (US)
appartenir (v.),belong
appartenir à,belong to
appât du gain (n.m.),the lure of money
appel (n.m.),call; phone call
appeler (v.),call; ring (UK)
appellation (n.f.),designation; name
appétissant,appetising
appétit (n.m.),appetite
applaudissement (n.m.),applause
application (n.f.),application
appliquer (v.),apply
apport (n.m.),contribution; influx
apporter (v.),bring; get
appréciable,appreciable
apprécier (v.),appreciate; enjoy
appréhender (v.),dread; arrest
appréhension (n.f.),apprehension; anxiety
apprenant (n.m.),learner
apprendre (v.),learn
apprentissage (n.m.),apprenticeship; learning
apprivoiser (v.),tame
approbation (n.f.),approval
approcher (v.),approach
approuver (v.),approve
approvisionneur (n.m.),supplier
approximatif,rough; approximate; vague
appui (n.m.),support
appuyer (v.),press
après,after; next
après-demain,day after tomorrow
après la pluie vient le beau temps,after the rain comes the good weather
après-midi (double genre),afternoon
après que,after
après-ski (n.m.),snow boot; après-ski
aquarium (n.m.),aquarium
aquatique,aquatic
arabe,Arab
araignée (n.f.),spider
arboriculture (n.f.),arboriculture
arbre (n.m.),tree
arc (n.m.),semicircle; arc; arch; curve
Arc de triomphe (n.pr.m.),Arc de Triomphe
arc-en-ciel (n.m.),rainbow
archaïque,archaic
archange (n.m.),archangel
archange saint Michel (n.m.),the Archangel Michael
arche (n.f.),arch
archet (n.m.),bow
archipel (n.m.),archipelago
architecte (double genre),architect
architectural,architectural
architecture (n.f.),architecture; structure
archives (n.f.pl.),archives; records
archiviste (double genre),archivist
ardemment,passionately; fiercely
ardoise (n.f.),slate
argent (n.m.),money; silver
argenté,silvery; silver
argentin,Argentinian
argument (n.m.),argument
aristocrate (double genre),aristocrat
arithmétique,arithmetic
arme (n.f.),weapon
armée (n.f.),army
armoire (n.f.),cupboard (UK); closet (US)
arôme (n.m.),aroma; flavour
arracher (v.),pull out; snatch
arrangement (n.m.),arrangement; agreement
arranger (v.),arrange; fix; organize
arrestation (n.f.),arrest
arrêt (n.m.),stop
arrêt de bus (n.m.),bus stop
arrêter (v.),stop; arrest; give up
arrhes (n.f.pl.),deposit
arrière,back [adjective]
arrière (n.m.),back; rear
arrière-boutique (n.f.),back room
arrimer (v.),stow; secure
arrivé,arrived
arrivée (n.f.),arrival
arriver (v.) (+ être),arrive; happen
arriver à (+ être),arrive in; manage to
arrogant,arrogant
arrondissement (n.m.),administrative district
arroser (v.),water
art (n.m.),art
Art Nouveau (n.pr.m.),Art Nouveau
artichaut (n.m.),artichoke
article (n.m.) [vente],article
article (n.m.) [presse],article; item
articulation (n.f.),joint
artificiel,artificial
artisanal,traditional; home-made
artiste (double genre),artist
artistique,artistic
ascendant,rising; upward; ascending
ascenseur (n.m.),lift (UK); elevator (US)
ascension (n.f.),climbing; ascent
aseptiser (v.),asepticize
asiatique,Asian
Asie (n.pr.f.),Asia
aspect (n.m.),aspect; look; appearance
asperge (n.f.),asparagus
aspirateur (n.m.),vacuum cleaner; Hoover (UK)
aspirine (n.f.),aspirin
assaisonnement (n.m.),dressing; seasoning
assassinat (n.m.),murder; assassination
assassiner (v.),murder; assassinate
assaut (n.m.),assault; attack
assécher (v.),dry out
assemblée (n.f.),gathering; meeting
Assemblée nationale (n.pr.f.),National Assembly
assez,quite; rather; enough
assez de,enough of
assiduité (n.f.),diligence
assidûment,assiduously
assiéger (v.),besiege
assiette (n.f.),plate
assimiler (v.),assimilate; compare
assis,seated; sitting
assistance (n.f.),assistance; congregation; attendance; audience
assistant (n.m.),helper; assistant
assister (v.),assist; be present; attend; help
association (n.f.),association
associé (n.m.),associate; partner
associer (v.),associate
assorti (v.),matching; assorted
assourdissant,deafening
assumer (v.),assume; take on
assurance (n.f.),insurance; comprehensive insurance
assurément,certainly
assurer (v.),assure
Astérix et Obélix,Asterix and Obelix
astéroïde (n.m.),asteroid
astronaute (n.) (double genre),astronaut
astuce (n.f.),trick
atelier (n.m.),workshop
Athènes (n.pr.),Athens
athlétisme (n.m.),athletics
Atlantique (n.pr.m.),Atlantic
atmosphère (n.f.),atmosphere
atomique,nuclear; atomic
atout (n.m.),asset; trump
attache (n.f.),fastening; tie; string; rope
attaché,fasten; tie
attaché-case (n.m.),attaché case
attacher (v.),fasten; tie
attaque (n.f.),attack
attaquer (v.),attack
atteindre (v.),get; hit; reach
atteinte (n.f.),attack
attendre (v.),wait (for); expect
attente (n.f.),expectations; wait
attentif,attentive; careful
attention,watch out; be careful
attention (n.f.),attention
atténuer (v.),alleviate; subdue; die down; reduce
atterrir (v.),land
atterrissage (n.m.),landing
attirant,attractive
attirer (v.),attract; draw
attitude (n.f.),attitude
attractif,magnetic; attractive
attraction (n.f.),fun fair; attraction park; attraction; gravity
attraper (v.),reach; catch; get
attribuer (v.),assign; attribute; blame; attach
attribut (n.m.),attribute; symbol
attribution (n.f.),attribution
au beau milieu de,right in the middle of
au bord de,at the edge of
au bout,at the very end
au bout de,at the end of
au bout du fil,on the line
au cas où,in case
au chaud,in the warm
au coeur,at the height; in the depths
au coeur de,in the heart of; at the heart of; in the middle of
au confluent de,at the confluence of
au contraire,quite the reverse
au courant,know; be aware; keep sb posted
au cours de,throughout
au début,at the start; beginning
au début de,at the beginning of
au-delà,beyond
au départ,at first
au-dessous,below; under
au-dessous de,below; under
au-dessus,above
au-dessus de,over; above
au détail,retail
au dos de,on the back of
au fait,by the way
au fil de,over; in the course of
au fond,in the back; at the bottom
au fond de,in the depths of
au frais,in a cool place
au jour le jour,from day to day
au large,at sea
au large de,off ...
au lieu de,instead of
au loin,far away
au maximum,at the most
au milieu,in the middle of; amongst
au moins,at least
au mois de,during the month of; in
au moment de,at the time of
au moment où,just as; when
au nom de,in the name of
au nombre de,among
au pied de,at the foot of
au plus,at the most
au plus tard,at the latest
au plus vite,as quickly as possible
au revoir,goodbye
au rythme de,at the rate of
au sein de,within
au sujet de,about; concerning
au voleur,stop thief
aube (n.f.),dawn; daybreak
auberge (n.f.),guesthouse
aubergine (n.f.),aubergine (UK); eggplant (US)
aucun,none; no; not; not any
audacieux,daring
audience (n.f.),hearing; public
audiovisuel,audio-visual
audition (n.f.),hearing
auditorium (n.m.),auditorium; studio
augmentation (n.f.),rise; increase; raise
augmenter (v.),increase; go up
Auguste Renoir (n.pr.),Auguste Renoir
Auguste Rodin (n.pr.),Auguste Rodin
aujourd'hui,today; these days
auparavant,first; previously
auprès de,beside; next to; with
aussi,also; too; as well; so
aussi ... que,as . . . as
aussitôt,immediately; straight away; at once; as soon as
aussitôt que,as soon as
Australie (n.pr.f.),Australia
australien,Australian
autant,as; so much; so many
autant ... que,as far as; as much as
autant de,so much; so many
autant de ... que,as much . . . as; as many . . . as
autant que,as far as; as much as
autant que je sache,as far as I know
auteur (n.m.),composer; author; writer
auteur-compositeur (n.m.),composer
authentique,genuine; authentic
auto tamponneuse (n.f.),dodgem; bumper car
autobus (n.m.),bus; bus station; bus stop
autocollant (n.m.),sticker
autofinancement (n.m.),self-financing
automatique,automatic
automatiquement,automatically
automne (n.m.),autumn (UK); fall (US)
automobile (n.f.),car; automobile
automobile,automobile [adjective]
automobiliste (double genre),car driver
autonome,autonomous; independent
autonomie (n.f.),autonomy
autorisation (n.f.),authorization
autoriser (v.),permit; authorize
autoritaire,authoritarian
autorité (n.f.),authority
autoroute (n.f.),motorway (UK); highway (US)
autoroutier,motorway (UK); freeway (US)
autour,around
autour de,around
autre,other; different
autre chose,something else
autrement,differently; otherwise
autrement dit,in other words
Autriche (n.pr.f.),Austria
Autrichien (n.m.),Austrian
autrichien,Austrian
Auvergne (n.pr.f.),Auvergne
avalanche (n.f.),avalanche; hail; shower
avaler (v.),swallow
avance (n.f.),advance; lead
avancé,advanced
avancement (n.m.),promotion; progress; advancement
avancer (v.),move forward; be fast
avant [temporel],before
avant [spatial],at the front; front; forward
avant (n.m.),front
avant de,before
avant-hier,the day before yesterday
avant-première (n.f.),preview
avant que,before
avantage (n.m.),advantage
avantageux,advantageous
avec,with
avec grand plaisir,with pleasure
avenir (n.m.),future
aventure (n.f.),adventure
aventurier (n.m.),adventurer
avenue (n.f.),avenue
avenue des Champs-Elysées (n.f.),Champs-Elysées avenue
averse (n.f.),shower
avertir (v.),warn; inform; tell
aveugle,blind
aveugle (double genre),blind man
aviateur (n.m.),aviator
aviation (n.f.),aviation; flying
Avignon (n.pr.),Avignon
avion (n.m.),plane; aeroplane; airplane (US)
avion à réaction (n.m.),jet plane
avion-cargo (n.m.),air freighter; cargo plane
avion ravitailleur (n.m.),supply plane
aviron (n.m.),rowing; oar
avis (n.m.),point of view; opinion
aviser (v.),notify
avocat (n.m.) [justice],barrister (UK); lawyer (US); attorney (US)
avocat (n.m.) [fruit],avocado
avoine (n.f.),oats
avoir (v.),have; have got; get
avoir ... ans,be... year(s) old
avoir à,have to
avoir à l'esprit,have in mind
avoir à l'idée,have in mind
avoir accès à,have access to
avoir besoin,need
avoir besoin de,need
avoir bien fait,have done sth well
avoir confiance,trust; have confidence in; have faith in
avoir de la chance,be lucky
avoir de la fièvre,have a fever
avoir de la température,have a temperature
avoir de l'influence sur,have an influence on sb
avoir des ennuis,to have problems
avoir droit à,be entitled to; be allowed to
avoir du cachet,be full of character; have style
avoir du caractère,have character
avoir du mal,have difficulty in; have trouble doing
avoir du retard,be late; be delayed
avoir en tête,have in mind
avoir envie,feel like
avoir envie de,feel like
avoir faim,be hungry
avoir hâte de,be anxious to
avoir horreur de,hate
avoir intérêt à,be in one's interest to; be well advised to
avoir la main verte,have green fingers (UK); have a green thumb (US)
avoir l'air,look; look like; seem
avoir le dos tourné,have one's back turned; have one's back to
avoir le droit de,be allowed
avoir le souffle coupé,be short of breath
avoir le temps,have time
avoir l'embarras du choix,be spoilt for choice
avoir les moyens de,be comfortably off; have the means to do sth
avoir les pieds sur terre,keep one's feet firmly planted on the ground
avoir l'habitude,be used to; be in the habit
avoir lieu,take place
avoir l'impression,have a feeling; have the impression
avoir l'initiative,have initiative
avoir l'intention de,intend to; plan to
avoir mal,be hurt
avoir peur,be afraid; fear
avoir quartier libre,be off duty; have time off
avoir raison,be right
avoir recours à,resort to
avoir soif,be thirsty
avoir sur soi,have with you; carry with you
avoir tort,be wrong
avoir vue sur,have a view of; look out onto
avouer (v.),admit
avril (n.m.),April
axer (v.),centre
azur (n.m.),azure
baccalauréat (n.m.),school-leaving examinations
Bach (n.pr.),Bach
backgammon (n.m.),backgammon
bacon (n.m.),bacon
bactérie (n.f.),bacterium
badge (n.m.),badge
bagad (n.m.),Breton Bagad
bagage (n.m.),luggage (UK); baggage (US)
bagarre (n.f.),fight; battle
Bagdad (n.pr.),Baghdad
bague (n.f.),ring
baguette (n.f.),French stick; drumstick; baguette; chopstick
Bahamas (n.f.pl.),the Bahamas
baie (n.f.),bay
baignade (n.f.),swimming
baignoire (n.f.),bath
bâiller (v.),yawn; gape
bain (n.m.),bath
bain de soleil (n.m.),sunbathe
baiser (n.m.),kiss
baisse (n.f.),fall; drop
baisser (v.),lower; turn down; go down; take down
bal costumé (n.m.),fancy-dress ball
bal masqué (n.m.),masked ball
balade (n.f.),walk; stroll
baladeur (n.m.),Walkman; personal stereo
balai (n.m.),broom
balance (n.f.),scales; balance
balançoire (n.f.),swing
balayer (v.),sweep
balayeur (n.m.),sweeper
balcon (n.m.),balcony
Bâle (n.pr.),Basel
baleine (n.f.),whale
balise (n.f.),marker; buoy
baliser (v.),mark out
balle (n.f.),ball
ballet (n.m.),ballet
ballon (n.m.),ball
ballon dirigeable (n.m.),airship (UK); blimp (US)
balnéaire,seaside
bambou (n.m.),bamboo
banal,banal; ordinary
banane (n.f.),banana
banc (n.m.),bench
bancaire,bank + noun; banking + noun
bandage (n.m.),bandage
bande (n.f.),band; bandage
bande d’arrêt d’urgence (n.f.),hard shoulder
bande dessinée (n.f.),comic strip; cartoon
bandeau (n.m.),headband; blindfold
banjo (n.m.),banjo
banlieue (n.f.),suburb
banque (n.f.),bank
banquet (n.m.),banquet; feast
banquette (n.f.),seat; stool
banquier (n.m.),banker
baptême (n.m.),baptism; christening
bar (n.m.),bar
barbare,barbaric
barbe (n.f.),beard
Barbe Noire (n.pr.),Blackbeard
barbecue (n.m.),barbecue
Barcelone (n.pr.),Barcelona
baroque,baroque
barque (n.f.),small boat
barre (n.f.),helm; rod; bar
barres parallèles (n.f.pl.),parallel bars
barricade (n.f.),barricade
barrière (n.f.),fence
bas (n.m.),bottom
bas,low
bas (n.m.) [vêtement],stocking (UK); nylons (US)
bas-côté (n.m.),verge; aisle; lean-to extension
base (n.f.),basis; foundation; basic; basic principle
baser (v.),base
baser sur,base on
basilique (n.f.),basilica
basket (n.f.) [chaussure],tennis shoe; trainer
basket (n.m.) [sport],basketball
basket-ball (n.m.),basketball
basque,Basque [adjective]
basque (n.m.),Basque
bassin (n.m.),basin; pond; ornamental lake; pool
bassine (n.f.),bowl
Bastille (n.pr.f.),Bastille; a former parisian state prison
bateau (n.m.),boat
bateau à vapeur (n.m.),boat
bateau à voiles (n.m.),sailing boat
bateau-citerne (n.m.),tanker
bateau-mouche (n.m.),river boat
bâtiment (n.m.),building
bâtir (v.),build
bâton (n.m.),stick
bâton de ski (n.m.),ski pole; ski stick
batte (n.f.),bat (UK); paddle (US)
batterie (n.f.),drums; battery
battre (v.),beat
bavard,talkative; chatty
Bavière (n.pr.f.),Bavaria
Béarn (n.pr.m.),Béarn
beau,beautiful [adjective]; handsome [adjective]; nice
beau (n.m.),beautiful; handsome; nice
Beaubourg (n.pr.),Beaubourg
beaucoup,a lot; a lot of; many; much
beaucoup de,a lot of
beauté (n.f.),beauty
beaux-parents (n.m.pl.),parents-in-law
bébé (n.m.),baby
Beefeater (n.pr.m.),Beefeater
beefsteak (n.m.),beefsteak
bégayer (v.),stammer (out)
beige,beige
beignet (n.m.),doughnut (UK); donut (US)
Belfort (n.pr.),Belfort
Belge (double genre),Belgian
belge,Belgian
Belgique (n.pr.f.),Belgium
Belle Epoque (n.pr.f.),The Belle Epoque
bénéfice (n.m.),benefit; profit
bénéficier (v.),benefit
bénin,slight; minor
Benjamin Raspail (n.pr.),Benjamin Raspail
berceau (n.m.),birthplace; cradle
bercer (v.),rock
béret (n.m.),beret
berger (n.m.),shepherd
Berlin (n.pr.),Berlin
bermuda (n.m.),Bermuda shorts
Berne (n.pr.),Bern
besoin (n.m.),need
besoin de,need
best-seller (n.m.),best-seller
bestiole (n.f.),bug
bétail (n.m.),livestock; cattle
bête,silly; stupid
beurk,berk
beurre (n.m.),butter
beurré,buttered
Beyrouth (n.pr.),Beirut
bibliothèque (n.f.),library
bicyclette (n.f.),bicycle
bidon (n.m.),can; tin (UK); belly
bielle (n.f.),connecting rod
bien (n.m.),property; possession; estate
bien (adj),well [adjective]; good [adjective]
bien (interjection),well [interjection]
bien (adverb),well [adverb]; quite [adverb]; really [adverb]
bien immobilier (n.m.),personal property; personal estate
bien plus,much more
bien plus de,much more
bien que,although
bientôt,see you soon; soon
bienvenue (n.f.),welcome
bière (n.f.),beer
bière pression (n.f.),draught beer
bifteck (n.m.),steak
bijou (n.m.),jewel
